Department,Teacher,Link
光电信息工程系,贾豫东,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365835.html
光电信息工程系,刘桂礼,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202109/t20210910_367545.html
光电信息工程系,赵爽,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365882.html
光电信息工程系,刘洋,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365881.html
光电信息工程系,李响,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365875.html
光电信息工程系,李晓英,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365878.html
光电信息工程系,耿蕊,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365877.html
光电信息工程系,刘力双,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365879.html
光电信息工程系,王晓玲,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365880.html
光电信息工程系,夏润秋,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365876.html
光电信息工程系,祝静,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365874.html
光电信息工程系,王雷,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365872.html
光电信息工程系,杨明庆,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365871.html
光电信息工程系,张世玉,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365913.html
光电信息工程系,郎晓萍,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365867.html
光电信息工程系,刘刚,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365870.html
光电信息工程系,乔道鄂,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365868.html
光电信息工程系,赵双琦,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365869.html
光电信息工程系,朱丽杰,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365873.html
光电信息工程系,王永千,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365915.html
光电信息工程系,刘鑫,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202107/t20210721_365914.html
光电信息工程系,白雪琼,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202306/t20230605_390189.html
光电信息工程系,陈光,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202305/t20230516_389274.html
光电信息工程系,李天舒,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/guangdian/202305/t20230516_389277.html
智能感知工程系,祝连庆,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365851.html
智能感知工程系,肖志松,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202309/t20230912_394623.html
智能感知工程系,朱疆,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365833.html
智能感知工程系,柳渊,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365832.html
智能感知工程系,尤睿,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365830.html
智能感知工程系,何巍,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365865.html
智能感知工程系,孙婷,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365862.html
智能感知工程系,张丹丹,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365831.html
智能感知工程系,于世洁,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202109/t20210909_367520.html
智能感知工程系,娄小平,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365834.html
智能感知工程系,张帆,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365866.html
智能感知工程系,于明鑫,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365861.html
智能感知工程系,刘锋,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365863.html
智能感知工程系,张钰民,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365864.html
智能感知工程系,吴越,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365860.html
智能感知工程系,袁配,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365856.html
智能感知工程系,戢宋昆,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365859.html
智能感知工程系,荆日星,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365858.html
智能感知工程系,李慧宇,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365857.html
智能感知工程系,贺庆,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365855.html
