研究室,url,pages
大科学装置研究院,https://yqgdxy.buaa.edu.cn/sz/zzjs/dkxzzyjy.htm,5
测控与信息技术系,https://yqgdxy.buaa.edu.cn/sz/zzjs/ckyxxjsx.htm,5
精密仪器与导航控制系,https://yqgdxy.buaa.edu.cn/sz/zzjs/jmyqydhkzx.htm,3
遥感科学与技术系,https://yqgdxy.buaa.edu.cn/sz/zzjs/ygkxyjsx.htm,2
光电工程系,https://yqgdxy.buaa.edu.cn/sz/zzjs/gdgcx.htm,2
智能感知工程系,https://yqgdxy.buaa.edu.cn/sz/zzjs/zngzgcx.htm,1
光电技术研究所,https://yqgdxy.buaa.edu.cn/sz/zzjs/gdjsyjs.htm,3
教学实验中心,https://yqgdxy.buaa.edu.cn/sz/zzjs/jxsyzx.htm,1
